0 1 2 
3 0 2 
1 5 6 
1 6 2 
4 3 7 
7 3 2 
7 2 6 
8 4 7 
9 4 8 
5 10 11 
6 5 11 
6 11 12 
7 6 12 
13 8 7 
12 13 7 
14 9 8 
13 14 8 
9 14 15 
16 9 15 
10 18 19 
11 10 19 
11 19 20 
12 11 20 
21 13 12 
12 20 21 
22 14 13 
21 22 13 
14 22 23 
14 23 15 
17 16 24 
24 16 15 
24 15 23 
25 17 24 
26 17 25 
18 27 28 
19 18 28 
19 28 29 
20 19 29 
30 21 20 
20 29 30 
31 22 21 
30 31 21 
22 31 32 
23 22 32 
23 32 33 
24 23 33 
34 25 24 
33 34 24 
35 26 25 
34 35 25 
27 36 37 
28 27 37 
28 37 38 
29 28 38 
39 30 29 
29 38 39 
40 31 30 
39 40 30 
31 40 41 
32 31 41 
32 41 42 
33 32 42 
43 34 33 
33 42 43 
44 35 34 
43 44 34 
36 45 46 
37 36 46 
37 46 47 
38 37 47 
48 39 38 
38 47 48 
49 40 39 
48 49 39 
40 49 50 
41 40 50 
41 50 51 
42 41 51 
52 43 42 
42 51 52 
53 44 43 
52 53 43 
45 54 55 
46 45 55 
46 55 56 
47 46 56 
57 48 47 
47 56 57 
58 49 48 
57 58 48 
49 58 59 
50 49 59 
50 59 60 
51 50 60 
61 52 51 
51 60 61 
62 53 52 
61 62 52 
54 63 64 
55 54 64 
55 64 65 
56 55 65 
66 57 56 
56 65 66 
67 58 57 
66 67 57 
58 67 68 
59 58 68 
59 68 69 
60 59 69 
70 61 60 
60 69 70 
71 62 61 
70 71 61 
63 72 73 
64 63 73 
64 73 74 
65 64 74 
75 66 65 
65 74 75 
76 67 66 
75 76 66 
67 76 77 
68 67 77 
68 77 78 
69 68 78 
79 70 69 
69 78 79 
80 71 70 
79 80 70 
72 81 83 
73 72 83 
73 83 84 
74 73 84 
85 75 74 
74 84 85 
86 76 75 
85 86 75 
76 86 87 
77 76 87 
77 87 88 
78 77 88 
89 79 78 
78 88 89 
90 80 79 
89 90 79 
81 82 91 
83 81 91 
91 82 92 
82 93 92 
83 91 95 
84 83 95 
96 85 84 
84 95 96 
97 86 85 
96 97 85 
86 97 98 
87 86 98 
87 98 99 
88 87 99 
100 89 88 
88 99 100 
101 90 89 
100 101 89 
91 92 102 
95 91 102 
102 92 103 
93 94 104 
92 93 104 
92 104 103 
104 94 105 
94 106 105 
107 96 95 
95 102 107 
108 97 96 
107 108 96 
97 108 109 
98 97 109 
98 109 110 
99 98 110 
111 100 99 
99 110 111 
112 101 100 
111 112 100 
113 107 102 
102 103 113 
114 113 103 
104 105 115 
103 104 115 
115 114 103 
106 116 105 
116 115 105 
117 108 107 
113 117 107 
108 117 118 
109 108 118 
109 118 119 
110 109 119 
120 111 110 
110 119 120 
121 112 111 
120 121 111 
122 117 113 
114 122 113 
123 122 114 
123 114 124 
115 124 114 
116 125 115 
115 125 124 
117 122 126 
118 117 126 
118 126 127 
119 118 127 
128 120 119 
119 127 128 
129 121 120 
128 129 120 
122 123 130 
126 122 130 
130 123 131 
125 132 124 
132 123 124 
123 132 131 
126 130 133 
127 126 133 
134 128 127 
127 133 134 
135 129 128 
134 135 128 
130 131 136 
133 130 136 
132 137 131 
137 136 131 
138 134 133 
136 138 133 
139 135 134 
138 139 134 
136 140 138 
137 141 136 
136 141 140 
142 139 138 
142 138 140 
141 143 140 
143 142 140 
